Fold,Validation,RMSE,R2,TrainFval
1,NT,22.059019316675375,0.9458214225069268,0.9236169083308422
2,WT,39.03112460129599,0.7833596370793087,0.38850004662057536
3,CISH KO,38.709764828241774,-0.8250447486362167,0.5804687440816378
