Time,Experimental_Data,Model_Simulation,Condition
0.0,40.0,40.0,NT
3.10731707317073,83.4146341463415,78.7608664834749,NT
5.87317073170732,156.09756097561,143.95442446927925,NT
7.9219512195122,224.878048780488,225.02709710075197,NT
9.93658536585366,302.926829268293,349.1483203488802,NT
0.0,40.0,40.0,WT
2.86829268292683,51.7073170731707,65.62581866647488,WT
7.95609756097561,50.2439024390244,105.68547963640555,WT
9.93658536585366,60.9756097560976,120.00197319173166,WT
12.9414634146341,105.853658536585,144.724551417055,WT
14.990243902439,152.19512195122,166.71125095217033,WT
19.9414634146341,292.19512195122,259.92208922665304,WT
0.0,40.0,40.0,CISH KO
2.93658536585366,76.0975609756098,62.83185384395218,CISH KO
6.00975609756098,61.9512195121951,66.81442339758111,CISH KO
7.88780487804878,66.3414634146342,57.87286085680492,CISH KO
9.90243902439024,51.219512195122,44.26723562567215,CISH KO
12.9073170731707,19.0243902439024,25.70317865460233,CISH KO
14.9219512195122,11.219512195122,16.86635786739034,CISH KO
19.9073170731707,0.975609756097561,5.474823613682941,CISH KO
22.9121951219512,0.0,2.7249139269125258,CISH KO
26.9756097560976,0.0,1.058643236607716,CISH KO
30.9365853658537,0.0,0.4226946812937329,CISH KO
