ID,dL,kL,kN,pL,delta,f_dose,kappa,gamma,L_max,L_AUC,T_AUC_normalized,tumor_ratio,Column16,no_therapy_L_max,no_therapy_L_AUC,no_therapy_T_AUC_normalized,no_therapy_tumor_ratio,cish_L_max,cish_L_AUC,cish_T_AUC_normalized,cish_tumor_ratio,double_cish_L_max,double_cish_L_AUC,double_cish_T_AUC_normalized,double_cish_tumor_ratio,anti_pd1_L_max,anti_pd1_L_AUC,anti_pd1_T_AUC_normalized,anti_pd1_tumor_ratio,cish_anti_pd1_L_max,cish_anti_pd1_L_AUC,cish_anti_pd1_T_AUC_normalized,cish_anti_pd1_tumor_ratio,double_cish_anti_pd1_L_max,double_cish_anti_pd1_L_AUC,double_cish_anti_pd1_T_AUC_normalized,double_cish_anti_pd1_tumor_ratio
patient_009_tumor_4,0.5,0.002531296,0.000258573,0.002263659,1.87e-9,0.82320656,0.5,0.007803194,0.494951663,1.77606845,57.48607863,1.369057116,,1.0e-10,4.999999999999993e-9,60.451811062635436,1.4412439120767138,0.49495166354389514,1.776068452118441,57.48607657237732,1.369057027657503,0.9894044029683041,3.5482355497089344,54.797620260592105,1.3035190735583788,1.0e-10,4.999999999999993e-9,59.71081163757872,1.4040530847126078,0.49495990018582287,1.7765583721985176,53.98132938235427,1.2678483295538765,0.9894360554599934,3.549973025364708,49.26616428285743,1.1553972134059471
patient_012_tumor_1,0.5,0.00100228,0.001,0.002386247,2.1e-9,0.658312222,0.326995078,0.010778424,0.577256997,2.276285984,57.1585786,1.358595548,,1.0e-10,4.999999999999993e-9,60.256021032675655,1.4212910239037053,0.577256997134639,2.2762859844768206,57.158579640444444,1.358595562658728,1.1534570232171122,4.548215270277403,54.34733511580825,1.3003414430254239,1.0e-10,4.999999999999993e-9,55.05118158885853,1.1912914004177986,0.5773401948645328,2.2785678833780847,49.82754667686118,1.0987499541277623,1.153742113356648,4.555436018790328,45.5216926118741,1.0197348601547573
patient_012_tumor_2,0.5,0.00100228,0.001,0.002386247,2.1e-9,0.658312222,0.326995078,0.008345952,0.578796423,2.290452566,55.5678549,1.269948249,,1.0e-10,4.999999999999993e-9,57.79954497100321,1.3130307470328384,0.5787964234372007,2.2904525673578773,55.56785604460958,1.2699482753077698,1.1564748563477898,4.574977511468599,53.484266347465606,1.2286811557846566,1.0e-10,4.999999999999993e-9,53.93700804879272,1.1420225984383732,0.5788417727929114,2.291737273713239,49.993701513787826,1.0741596557574395,1.1566318273481682,4.57916203702066,46.579016890868814,1.013133914672059
patient_012_tumor_3,0.5,0.00100228,0.001,0.002386247,2.1e-9,0.658312222,0.326995078,0.01148647,0.574612838,2.25288026,55.27358155,1.3131597,,1.0e-10,4.999999999999993e-9,59.617281310883456,1.4045719689981717,0.5746128386537197,2.252880259873434,55.27358334541962,1.3131597361594929,1.1483109957750648,4.504857672220069,51.51776109221651,1.232910909343353,1.0e-10,4.999999999999993e-9,53.071149527786694,1.1290427423780223,0.5747866118169693,2.257325185442781,46.18033843073599,1.0038107964556948,1.1488964866071412,4.5184029501273795,40.93832214710739,0.9063583347614927
patient_012_tumor_4,0.5,0.00100228,0.001,0.002386247,2.1e-9,0.658312222,0.326995078,0.011725085,0.574424114,2.251213963,55.41431653,1.322198812,,1.0e-10,4.999999999999993e-9,59.8660087551245,1.4165293497478535,0.5744241142905708,2.251213963425352,55.41431842659935,1.3221988519322538,1.1479454774202023,4.5018042315619375,51.578191834130685,1.239729801249279,1.0e-10,4.999999999999993e-9,53.18328533061453,1.135076838414209,0.5746055574549159,2.255836136764782,46.15258681801163,1.0065233249252292,1.148556091321038,4.515854468501632,40.83359088716356,0.9071622695350473
patient_012_tumor_5,0.5,0.00100228,0.001,0.002386247,2.1e-9,0.658312222,0.326995078,0.011655024,0.577824245,2.281319723,59.14874835,1.439141809,,1.0e-10,4.999999999999993e-9,62.04212859149462,1.49832637589394,0.5778242452326927,2.281319724449,59.14874927652623,1.4391418207652837,1.1545671285227348,4.557665826402514,56.49388147880205,1.3834511396112317,1.0e-10,4.999999999999993e-9,56.94442734330315,1.2657180416117715,0.5778921911258772,2.283219656908004,52.00376818449963,1.1770027934386482,1.1548008252273545,4.563735176979192,47.85545619653828,1.0996979126482798
patient_014_tumor_1,0.212669605,0.003266188,0.000350251,0.002435834,2.94e-8,0.605545443,0.075350737,0.006288317,0.15544622,1.216893588,54.42078056,1.234830125,,1.0e-10,4.999999999999993e-9,57.59075607116519,1.3132550223203379,0.15544621919917134,1.2168935866282313,54.420780408082855,1.234830122886992,0.3107688540458324,2.4345940844528164,51.57155116067067,1.1643126054800628,1.0e-10,4.999999999999993e-9,56.39478426241824,1.256990056952305,0.15546130715791295,1.2182773024628222,50.42506346796127,1.11478455491714,0.31082431652388026,2.4392537681809037,45.6080878976211,1.000060189574634
patient_014_tumor_2,0.212669605,0.003266188,0.000350251,0.002435834,2.94e-8,0.605545443,0.075350737,0.007212277,0.155581713,1.219972178,56.07608533,1.302520031,,1.0e-10,4.999999999999993e-9,59.08014643018849,1.3784350801450116,0.1555817126082188,1.2199721760287474,56.07608492501986,1.302520016067612,0.311035441010149,2.4403795357475473,53.351540577212546,1.2336126840418742,1.0e-10,4.999999999999993e-9,57.92051582252406,1.3223793607613057,0.1555942891953555,1.2211525740305709,52.22592897673107,1.1835998532453438,0.31108179710844885,2.4444204953198203,47.55587365699439,1.069752137037648
patient_014_tumor_3,0.212669605,0.003266188,0.000350251,0.002435834,2.94e-8,0.605545443,0.075350737,0.002707134,0.155719656,1.223909863,50.34765831,1.053243766,,1.0e-10,4.999999999999993e-9,52.72408643007093,1.1080339888567585,0.1557196554844845,1.2239098620867879,50.347657768694866,1.05324374691553,0.31130724136224086,2.4478454189368493,48.168645221124784,1.0029806426300907,1.0e-10,4.999999999999993e-9,51.87310000261845,1.0704699271091531,0.15572991309700704,1.2248511524964127,47.31294524178921,0.9685656768455968,0.31134515090168585,2.4510833751140026,43.496228172362436,0.8833331813973065
patient_014_tumor_4,0.212669605,0.003266188,0.000350251,0.002435834,2.94e-8,0.605545443,0.075350737,0.017597833,0.146880757,1.04669106,53.72999656,1.505479737,,1.0e-10,4.999999999999993e-9,73.6039809133089,2.1237232607418783,0.14688075680913193,1.0466910633368072,53.72999246397737,1.5054795689207359,0.29459724670200615,2.140640603427588,42.168770716527305,1.1546852412671584,1.0e-10,4.999999999999993e-9,67.43652419847547,1.8582321881269634,0.1474600658996783,1.0747862766902994,39.07498515285858,1.0189991181620406,0.2964412890015054,2.2136285519958636,27.59327032701047,0.6982234264195638
