Parameter,pN,muL,f_dose,pL,kL,kappa,dL
pN,1.0,-0.3572424592009398,0.162986695973974,0.08042275218441346,-0.44474519885813024,-0.03399725092309201,0.7146129931666195
muL,-0.3572424592009398,1.0,-0.47125922412305454,-0.11808565355843414,-0.22943277554041655,-0.30560875922553277,-0.17755008842346803
f_dose,0.162986695973974,-0.47125922412305454,1.0,0.1353004140805617,-0.017301676215137313,-0.09303413383160963,-0.19629288683153087
pL,0.08042275218441346,-0.11808565355843414,0.1353004140805617,1.0,-0.2177887671998279,-0.12872903062569507,-0.25827519189939774
kL,-0.44474519885813024,-0.22943277554041655,-0.017301676215137313,-0.2177887671998279,1.0,0.3594488113058816,-0.2948344251085919
kappa,-0.03399725092309201,-0.30560875922553277,-0.09303413383160963,-0.12872903062569507,0.3594488113058816,1.0,0.27382239801745567
dL,0.7146129931666195,-0.17755008842346803,-0.19629288683153087,-0.25827519189939774,-0.2948344251085919,0.27382239801745567,1.0
