metric,parameter,correlation,p_value,n_points,significant
L_AUC,dL,0.34877598283997396,0.03709007526349217,36,true
L_AUC,muL,-0.4665729414570972,0.004125288190804044,36,true
L_AUC,gamma,0.3574057149131885,0.032354538866120386,36,true
L_AUC,pN,0.6109189344847096,7.578014076625728e-5,36,true
L_AUC,kappa,0.253399875102188,0.1359083494461082,36,false
L_AUC,kL,-0.16803663665333352,0.3272703251162641,36,false
L_AUC,pL,-0.10401347830058344,0.5460450336839913,36,false
L_AUC,f_dose,0.6623018303376867,1.0831496162211351e-5,36,true
T_AUC_normalized,dL,0.7671013059116539,4.8457025059178704e-8,36,true
T_AUC_normalized,muL,-0.0004315741161735237,0.9980068425991724,36,false
T_AUC_normalized,gamma,0.5634187916747712,0.000346371897036013,36,true
T_AUC_normalized,pN,0.6478611431941179,1.9405662022631276e-5,36,true
T_AUC_normalized,kappa,0.03178533652958765,0.8539916567054542,36,false
T_AUC_normalized,kL,-0.4257371078536638,0.009632059073297894,36,true
T_AUC_normalized,pL,-0.13123347153410347,0.4455107713915294,36,false
T_AUC_normalized,f_dose,-0.19396730422000208,0.25698861754950797,36,false
tumor_ratio,dL,0.8267833612346316,5.186735485551708e-10,36,true
tumor_ratio,muL,-0.06424656170781583,0.7096991917626048,36,false
tumor_ratio,gamma,0.6532031454914639,1.5696362541062214e-5,36,true
tumor_ratio,pN,0.6616780299289668,1.1114941755430152e-5,36,true
tumor_ratio,kappa,0.17541557070028999,0.30616079004871555,36,false
tumor_ratio,kL,-0.3672726668861743,0.02755832508517586,36,true
tumor_ratio,pL,-0.16478502214653357,0.3368520233155494,36,false
tumor_ratio,f_dose,-0.09628348203827282,0.5764256175934017,36,false
L_max,dL,0.5889118699562198,0.00015780477117610658,36,true
L_max,muL,-0.34350664447997054,0.04024865511628484,36,true
L_max,gamma,0.4453262690068142,0.006494523246865613,36,true
L_max,pN,0.7308030199614682,4.174723982064421e-7,36,true
L_max,kappa,0.42743895385424224,0.009316076008134555,36,true
L_max,kL,-0.158454403838183,0.35599496242860607,36,false
L_max,pL,-0.1303987082025316,0.44843565323317236,36,false
L_max,f_dose,0.4184868559182457,0.01108244416177162,36,true
