Time,Experimental_Data,Model_Simulation,Condition
0.0,25.0,25.0,No cells
4.935525849,58.2278481,60.17456785662836,No cells
6.829527978,94.93670886,84.29515998405932,No cells
9.616704129,203.7974684,138.42883244475448,No cells
11.49414409,249.3670886,193.34625899522175,No cells
13.38932923,285.443038,270.904584076664,No cells
16.18715249,388.6075949,445.72019463321897,No cells
0.0,25.0,25.0,No cells + aPD1
3.20359635632319,34.8101265822784,44.21261607480077,No cells + aPD1
5.05264403170472,45.5696202531645,61.44082738584462,No cells + aPD1
7.06258133207145,70.253164556962,87.86224027870296,No cells + aPD1
9.85685555424109,125.316455696202,144.46703557077117,No cells + aPD1
11.7260144327457,175.316455696202,201.48110843415267,No cells + aPD1
13.4922512717378,230.379746835443,275.89585861298895,No cells + aPD1
16.2356559801254,362.658227848101,449.55265634327435,No cells + aPD1
0.0,25.0,25.0,WT
3.203596356,34.81012658,41.92682121547529,WT
5.052644032,45.56962025,54.04090493027787,WT
7.062581332,70.25316456,68.97255602744623,WT
10.20502625879,82.4051271400172,95.69399295821678,WT
11.914072931193,87.9061211168145,112.01096626248948,WT
14.1441414710856,146.334154229593,135.6658385970568,WT
17.1806664095184,157.982968875174,174.21511934469694,WT
19.105420882414,236.990772334807,204.57995065116293,WT
21.0788357119544,264.90520131739,243.16067584069313,WT
23.8779930569978,325.789989021748,318.1356786859472,WT
26.9545737768151,395.38023321366,447.4118368096587,WT
0.0,25.0,25.0,WT + aPD1
3.203596356,34.81012658,35.67186130997527,WT + aPD1
5.052644032,45.56962025,36.48403603351392,WT + aPD1
7.062581332,70.25316456,34.57494320626179,WT + aPD1
9.95371331928908,46.2837136159986,39.45493762506811,WT + aPD1
12.5264813221374,44.8773106251669,47.2401016530909,WT + aPD1
14.3414532830905,39.1567516244844,53.130013938719394,WT + aPD1
16.9142212859389,37.7503486336527,61.563503649442055,WT + aPD1
19.0078034596326,39.4890662552295,68.46363658089929,WT + aPD1
21.1901017713556,48.0758389460878,75.8216470523336,WT + aPD1
24.3224638756193,59.0956294691867,87.17696019353308,WT + aPD1
25.6422276948639,73.3436192623802,92.46053938723378,WT + aPD1
28.3716583093493,107.441474052754,104.92523184832729,WT + aPD1
31.2129484022193,124.08687653918,121.23359886378229,WT + aPD1
38.3642405720559,215.230098210841,193.78554231858638,WT + aPD1
0.0,25.0,25.0,CISH KO
3.203596356,34.81012658,39.267709384479545,CISH KO
5.052644032,45.56962025,46.378073051307254,CISH KO
7.062581332,70.25316456,52.336465057759426,CISH KO
11.63773148,52.49056927,59.186400387066044,CISH KO
13.73713992,43.33847737,60.222501073073495,CISH KO
15.11304012,33.88151578,60.55575735505813,CISH KO
18.90174897,40.73216735,61.120705596013366,CISH KO
21.6878858,47.26937586,61.96617083240049,CISH KO
24.05606996,52.87208505,63.36366268577183,CISH KO
26.00437243,60.30521262,65.14034229767803,CISH KO
28.64776235,71.44633059,68.66533576768245,CISH KO
31.00630144,90.87362826,73.11786333037549,CISH KO
40.44560185,161.2097051,110.1258538425425,CISH KO
0.0,25.0,25.0,CISH KO + aPD1
3.203596356,34.81012658,33.83294221232744,CISH KO + aPD1
5.052644032,45.56962025,32.75698419747155,CISH KO + aPD1
7.062581332,70.25316456,29.971225971151046,CISH KO + aPD1
12.0544165207845,40.5453520458119,23.418919770536057,CISH KO + aPD1
13.775331572857,33.5845473696703,21.736896684977367,CISH KO + aPD1
16.6427321009999,22.8139928196303,19.56961193998671,CISH KO + aPD1
18.644631041747,20.8201050351601,18.470397594969565,CISH KO + aPD1
20.7471145001928,13.2124736670326,17.633306844428805,CISH KO + aPD1
24.0895469246061,3.65842803311278,16.88786908149697,CISH KO + aPD1
26.2807465210812,2.89885173426699,16.750785505074777,CISH KO + aPD1
28.9493516897605,0.863424620953651,16.93853546525857,CISH KO + aPD1
30.9494703735572,0.738806634424236,17.334839584853132,CISH KO + aPD1
39.3297332581669,1.46277779426162,21.739944626588468,CISH KO + aPD1
