Fold,Validation,RMSE,R2,TrainFval
1,No cells,40.29185012442889,0.8925981226202117,5.099428397961864
2,No cells + aPD1,64.03716461399247,0.6616480362653594,5.0284678663875875
3,WT,103.82102564249315,0.22126407949518512,5.0048445611708665
4,WT + aPD1,410.9077320131451,-73.70652348476104,4.797867513599957
5,CISH KO,56.19078299058719,-1.9285931946464099,0.8900434459485753
6,CISH KO + aPD1,28.701397799308968,-1.047942787205114,0.6949392362039617
