Time,Experimental_Data,Model_Simulation,Condition
0.0,40.0,40.0,NT
3.10731707317073,83.4146341463415,78.76086648359578,NT
5.87317073170732,156.09756097561,143.95442446894475,NT
7.9219512195122,224.878048780488,225.0270970983202,NT
9.93658536585366,302.926829268293,349.1483203386263,NT
0.0,40.0,40.0,WT
2.86829268292683,51.7073170731707,65.62581866658232,WT
7.95609756097561,50.2439024390244,105.68547963585372,WT
9.93658536585366,60.9756097560976,120.0019731901483,WT
12.9414634146341,105.853658536585,144.72455141162288,WT
14.990243902439,152.19512195122,166.71125094078812,WT
19.9414634146341,292.19512195122,259.9220891637012,WT
0.0,40.0,40.0,CISH KO
2.93658536585366,76.0975609756098,62.8318672871447,CISH KO
6.00975609756098,61.9512195121951,66.81445704938054,CISH KO
7.88780487804878,66.3414634146342,57.87289781992906,CISH KO
9.90243902439024,51.219512195122,44.26727270917967,CISH KO
12.9073170731707,19.0243902439024,25.70321482876746,CISH KO
14.9219512195122,11.219512195122,16.86639174888699,CISH KO
19.9073170731707,0.975609756097561,5.474845986268815,CISH KO
22.9121951219512,0.0,2.724929131017932,CISH KO
26.9756097560976,0.0,1.0586514058063725,CISH KO
30.9365853658537,0.0,0.42269884183586043,CISH KO
